"id","name","component","ra","dec","proper_motion","proper_motion_dir","radial_velocity","spectral_type_full","spectral_type","spectral_type_sub","luminosity_class","visual_magnitude","absolute_magnitude","parallax","bv_color","hd_number"
12637,"Gl 54",,"01 10 22.9","-67 26 40",0.718,34,26.1,"k",,,,9.8,10.21,120.9,1.54,
12638,"NN 3076",,"01 11 25.9","+15 26 19",0.215,125,,"m",,,,14.36,14.72,118,,
12639,"NN 3077","A","01 11 55.6","+04 55 05",0.623,146.4,,"m",,,,12.89,11.94,64.6,1.62,
12640,"NN 3078","B","01 11 57.6","+04 54 05",0.623,146.4,,"m",,,,13.91,12.96,64.6,1.7,
12644,"GJ 1033",,"01 13 25.3","-22 54 07",0.09,88,,,,,,14.16,13.12,62,1.58,
12653,"Gl 55.1","B","01 15 01.3","-68 49 10",0.414,73.9,,,,,,8.2,6.8,53,,
12654,"GJ 1034",,"01 16 29.7","+24 19 26",1.841,112.2,,"m",,,,15.04,13.47,48.5,1.84,
12658,"GJ 1035",,"01 19 51.1","+84 09 27",1.081,295.1,,"m",,,,14.77,14.09,73.2,1.79,
12659,"GJ 1036",,"01 17 15.4","-35 42 57",0.193,154,,"m",,,,11.42,10.42,63,1.53,
12663,"GJ 1037",,"01 18 00.0","+16 10 20",0.653,181.7,,"DQ6",,,,13.82,12.84,63.8,0.12,
12641,"NN 3079",,"01 12 28.1","-01 51 26",0.05,180,,"DAwk","A",,,14.09,14.07,99,,
12619,"Wo 9037",,"01 04 39.9","-39 29 16",0.549,196.9,22.4,"G3 IV","G",3,"IV",7.72,5.84,42.1,0.6,6434
12604,"Wo 9035",,"01 03 38.7","+82 06 03",0.186,252.2,-50.7,"dG2","G",2,,8.45,6.5,40.2,0.6,5817
12648,"Wo 9046",,"01 14 25.3","-41 53 41",0.125,241.8,,"G0 V","G",0,"V",8.47,6.6,42,0.56,7498
12643,"NN 3080",,"01 13 06.4","+41 39 15",0.324,96.4,,"G5","G",5,,7.28,5.64,47,0.78,7205
12657,"Gl 55.3","B","01 15 45.6","-68 52 29",0.416,73.4,4.9,"G5","G",5,,7.2,5.7,50.7,,
12656,"Gl 55.3","A","01 15 46.6","-68 52 35",0.422,74,4,"F6 IV  J","F",6,,4.99,3.5,50.7,0.47,7788
12705,"NN 3102",,"01 37 19.7","-49 11 20",0.534,75.2,,"K7","K",7,,10.5,8.9,47,,
12707,"GJ 1040",,"01 38 33.3","+44 35 25",0.176,50.5,,"dK8","K",8,,10.84,7.83,25,1.2,
16082,"NN 4328",,"23 17 32.0","+09 41 34",0.125,111,24.8,"dK8","K",8,,9.72,8.27,51.4,1.13,
16135,"Wo 9832",,"23 37 33.3","+46 27 28",0.446,159,6.8,"G8 III-IV","G",8,,3.82,2.23,48.1,1.01,222107
12766,"Gl 83.1",,"02 00 13.2","+13 03 07",2.097,147.8,-31,"dM8  e","M",8,,12.28,14.03,223.8,1.8,
14184,"NN 3655",,"11 21 49.4","-13 13 07",0.515,261,30,"M8","M",8,,19.57,18.8,70.2,,
14771,"NN 3877",,"14 56 38.6","-28 09 51",0.965,210.1,,"dM8","M",8,,17.05,18.08,161,1.34,
15442,"Gl 750","A","19 16 43.1","-45 53 23",0.45,154,-36.8,"K9 V J","K",9,,10.12,9.42,72.6,1.42,179930
12842,"Wo 9082",,"02 26 01.9","+05 46 47",0.391,70.4,10,"G9","G",9,,7.95,5.73,36,0.81,15096
12915,"Gl 113.1",,"02 48 43.4","+31 06 54",0.273,128.5,-2.8,"G9  e","G",9,,6.76,6.22,78,0.96,17433
13448,"NN 3392",,"06 20 48.4","+06 45 16",0.515,93.3,,"DA9","A",9,,16.37,14.63,44.8,0.55,
13503,"Wo 9220","A","06 54 38.2","+13 10 42",0.1,139.8,14.8,"A9 V p","A",9,,4.74,2.7,39,0.31,50635
13944,"NN 3565",,"09 43 47.0","-07 03 51",0.441,187.5,,"DA9","A",9,,16.41,14.58,43,0.56,
13940,"Gl 364",,"09 42 14.5","-23 54 55",0.476,302.6,35.2,"F9 IV","F",9,"IV",4.93,4.5,82,0.53,84117
16088,"Wo 9821",,"23 18 49.8","-32 31 56",0.068,164.2,15.6,"G8 III","G",8,"III",4.41,2.5,42.1,1.13,219784
13487,"Gl 245.1",,"06 45 23.3","-31 47 35",0.387,213.4,32,"F6 V","F",6,"V",5.92,3.98,41,0.49,49095
13177,"Wo 9155","B","04 24 12.5","-57 04 17",0.029,93.9,-3.7,"G6 V","G",6,"V",7.3,5.3,40,,
13581,"Wo 9234",,"07 29 56.4","+49 40 22",0.139,133,-26.7,"F6 V","F",6,"V",5.36,3.58,44,0.45,58855
15195,"Gl 684","B","17 34 59.3","+61 52 32",0.568,154.1,,"K3 V","K",3,"V",8.06,7.22,67.9,1.1,
15206,"Gl 688",,"17 39 17.1","+03 33 20",0.199,242.5,22.4,"K3 V","K",3,"V",6.52,6.06,81,0.96,160346
15209,"NN 4017",,"17 36 56.7","+68 45 30",0.323,359.9,-14.4,"F5 V","F",5,"V",4.8,3.34,51,0.43,160922
15221,"Gl 692",,"17 43 25.9","-21 40 57",0.105,245.4,10.2,"F5 V","F",5,"V",4.87,3.75,59.8,0.47,160915
15182,"Gl 679",,"17 32 00.6","+34 16 15",0.256,284.7,-52,"G5 V","G",5,"V",6.56,5.25,54.8,0.65,159222
13716,"Gl 303",,"08 20 04.1","+27 13 06",0.381,182.3,33,"F6 V","F",6,"V",5.14,4.16,63.8,0.47,69897
13802,"NN 3519",,"08 55 12.2","-54 57 54",0.092,153.1,-2,"F6 V","F",6,"V",5.71,3.77,41,0.48,76653
13814,"NN 3523",,"08 58 43.9","-16 08 01",0.318,49,120.8,"F6 V","F",6,"V",5.83,4.72,60,0.53,76932
13504,"Wo 9220","B","06 54 38.2","+13 10 42",0.1,139.8,22.3,"G6 V","G",6,"V",7.68,5.64,39,0.72,
13903,"Gl 348","A","09 29 09.3","-02 46 11",0.134,104.2,10.8,"F6 V","F",6,"V",4.6,3.84,70.4,0.45,81997
13947,"Gl 366.1","A","09 44 11.9","-27 46 11",0.059,301.2,24,"F6 V","F",6,"V",5.45,4.03,52,0.51,84367
12695,"NN 3099",,"01 33 26.5","-43 54 05",0.237,74.6,,"K0/1 V","K",0,"V",7.84,5.96,42,0.83,9619
12708,"NN 3103",,"01 38 29.7","+00 39 03",0.529,72.9,,"k",,,,11.55,10.21,54,,
12712,"NN 3105",,"01 40 16.9","+31 47 28",0.481,90.7,,"m",,,,13.91,12.84,61,,
12723,"NN 3107",,"01 42 38.5","-24 37 56",0.035,190,,"m",,,,12.02,10.08,41,,
12728,"NN 3111",,"01 43 50.1","-23 51 14",0.046,79,,"m",,,,13.28,11.55,45,,
16110,"NN 4339",,"23 30 14.0","+31 42 20",0.235,123,-14.6,"K0","K",0,,8.31,6.27,39,0.93,221239
16100,"Wo 9826",,"23 25 55.9","+29 11 43",0.578,125.3,,"K3","K",3,,11.05,9.2,42,0.94,
12714,"NN 3106",,"01 41 09.5","+63 48 45",0.013,311.9,-7,"B5","B",5,,10.07,9.5,76.7,0.47,
12681,"NN 3095",,"01 22 57.1","+07 25 09",0.257,21.4,,"G5","G",5,,7.33,6.43,66,,8357
12706,"Gl 64",,"01 37 59.2","-04 59 45",0.675,121,,"DA7","A",7,,12.84,12.39,81.4,0.35,
12729,"NN 3112",,"01 42 57.6","-67 17 58",1.048,197.8,51,"DA7","A",7,,13.88,13.37,79,0.44,
16101,"GJ 2155",,"23 26 12.9","+08 53 40",0.537,68.7,,"K7","K",7,,10.54,9.08,51,1.5,
12696,"Wo 9057",,"01 34 27.0","+34 40 45",0.016,42.9,-4.5,"F8","F",8,,9.56,7.6,40.8,0.52,
