"id","name","hd_id","ads_id","variable","ra","dec","visual_magnitude","bv_magnitude","spectral_type_full","spectral_type","sprectral_type_sub","intensity","note_flag"
201,\N,4301,\N,\N,"00 45 24.1","-04 37 45",6.15,1.62,"  M0III             ",\N,\N,\N,\N
202,\N,4304,\N,\N,"00 45 00.0","-53 42 54",6.15,0.53,"  F7III             ",\N,\N,\N,\N
203," 18    Cet",4307,\N,\N,"00 45 28.7","-12 52 51",6.15,0.61,"  G0V               ",\N,\N,\N,"*"
204,\N,4321,\N,\N,"00 46 15.1","+55 18 19",6.52,\N,"  A2III             ",\N,\N,\N,\N
205,\N,4335,\N,\N,"00 46 10.9","+44 51 41",6.05,-0.07,"  B9.5IIIpHgMnCr    ",\N,\N,\N,"*"
206,\N,4338,636,\N,"00 45 41.7","-16 25 27",6.47,0.31,"  F1IVn             ",\N,\N,\N,\N
207,\N,4362,\N,\N,"00 46 42.4","+59 34 28",6.39,1.09,"  G0Ib              ",\N,\N,\N,\N
208," 23    Cas",4382,\N,\N,"00 47 46.1","+74 50 51",5.41,-0.08,"  B8III             ",\N,\N,\N,"*"
209,\N,4391,\N,\N,"00 45 45.6","-47 33 06",5.8,0.64,"  G1V               ",\N,\N,\N,\N
210,\N,4398,\N,\N,"00 46 11.8","-22 31 19",5.5,0.98,"  G3V               ",\N,\N,\N,"*"
211," 57    Psc",4408,\N,293,"00 46 33.0","+15 28 32",5.38,1.65,"  M4IIIa            ",\N,\N,\N,"*"
212,\N,4440,\N,\N,"00 48 09.1","+72 40 30",5.87,1.01,"  K0IV              ",\N,\N,\N,\N
213," 58    Psc",4482,\N,\N,"00 47 01.5","+11 58 26",5.5,0.97,"  G8II              ",\N,\N,\N,\N
214," 59    Psc",4490,\N,"XX Psc   ","00 47 13.6","+19 34 44",6.13,0.27,"  F0Vn              ",\N,\N,\N,"*"
215," 34Zet And",4502,\N,"Zet And  ","00 47 20.3","+24 16 02",4.06,1.12,"  K1IIe             ",\N,\N,\N,"*"
216," 60    Psc",4526,\N,\N,"00 47 23.6","+06 44 27",5.99,0.94,"  G8III             ",\N,\N,\N,\N
217," 61    Psc",4568,\N,\N,"00 47 54.8","+20 55 31",6.54,0.5,"  F8V               ",\N,\N,\N,"*"
218,\N,4585,\N,\N,"00 47 43.3","-18 03 41",5.7,1.3,"  K3III             ",\N,\N,\N,\N
219," 24Eta Cas",4614,671,\N,"00 49 06.0","+57 48 57",3.44,0.57,"  F9V+dM0           ",\N,\N,\N,"*"
220,\N,4622,\N,\N,"00 48 01.1","-21 43 21",5.57,-0.06,"  B9V               ",\N,\N,\N,\N
221," 62    Psc",4627,\N,\N,"00 48 17.4","+07 18 00",5.93,1.1,"  G8III             ",\N,\N,\N,\N
