"id","name","hd_id","ads_id","variable","ra","dec","visual_magnitude","bv_magnitude","spectral_type_full","spectral_type","sprectral_type_sub","intensity","note_flag"
8634," 42Zet Peg",214923,16182,\N,"22 41 27.7","+10 49 53",3.4,-0.09,"  B8V               ",\N,\N,\N,"*"
8635,\N,214953,\N,14277,"22 42 36.9","-47 12 38",5.98,0.58,"  G0V               ",\N,\N,\N,"*"
8636,"   Bet Gru",214952,\N,"Bet Gru  ","22 42 40.1","-46 53 05",2.1,1.6,"  M5III             ",\N,\N,\N,"*"
8637," 19    PsA",214966,\N,\N,"22 42 22.1","-29 21 39",6.17,1.54,"  M5III             ",\N,\N,\N,\N
8638,\N,214979,\N,\N,"22 41 31.4","+30 57 57",6.34,\N,"  K5                ",\N,\N,\N,\N
8639,\N,214987,\N,14278,"22 42 43.1","-44 14 52",6.07,0.98,"  K0III             ",\N,\N,\N,"*"
8640," 12    Lac",214993,\N,"DD Lac   ","22 41 28.6","+40 13 32",5.25,-0.14,"  B2III             ",\N,\N,\N,"*"
8641," 43Omi Peg",214994,\N,\N,"22 41 45.4","+29 18 27",4.79,-0.01,"  A1IV              ",\N,\N,\N,"*"
8642,\N,214995,\N,\N,"22 41 57.4","+14 30 59",5.9,1.11," gK0                ",\N,\N,\N,\N
8643,\N,215030,\N,\N,"22 41 36.1","+41 32 58",5.94,\N,"  G9III             ",\N,\N,\N,\N
8644,"   Rho Gru",215104,\N,\N,"22 43 30.0","-41 24 52",4.85,1.03,"  K0III             ",\N,\N,\N,"*"
8645,\N,215114,16208,\N,"22 43 03.5","-08 18 42",6.45,0.17,"  A5V               ",\N,\N,\N,"*"
8646,\N,215121,\N,\N,"22 44 16.5","-60 29 58",6.3,0.56,"  F3V               ",\N,\N,\N,\N
8647," 67    Aqr",215143,\N,\N,"22 43 14.3","-06 57 46",6.41,-0.04,"  A0Vn              ",\N,\N,\N,\N
8648,\N,215159,\N,\N,"22 42 20.8","+53 54 32",6.12,1.62,"  K2                ",\N,\N,\N,\N
8649," 66    Aqr",215167,\N,14291,"22 43 35.3","-18 49 49",4.69,1.37,"  K4III             ",\N,\N,\N,"*"
8650," 44Eta Peg",215182,16211,14285,"22 43 00.1","+30 13 17",2.94,0.86,"  G2II-III+F0V      ",\N,\N,\N,"*"
8651,\N,215191,\N,\N,"22 42 55.5","+37 48 10",6.43,-0.09,"  B1V               ",\N,\N,\N,"*"
8652,\N,215242,16214,14290,"22 43 04.5","+47 10 07",6.39,0.47,"  A1V+G:            ",\N,\N,\N,"*"
8653,\N,215243,\N,\N,"22 43 42.7","+10 56 21",6.51,0.46,"  G8IV              ",\N,\N,\N,"*"
8654,\N,215359,16228,\N,"22 44 05.2","+39 27 56",5.95,1.48,"  K5III+K2III       ",\N,\N,\N,"*"
8655,"   Eta Gru",215369,\N,\N,"22 45 37.9","-53 30 01",4.85,1.18,"  K2IIICNIV         ",\N,\N,\N,\N
8656," 13    Lac",215373,16227,\N,"22 44 05.5","+41 49 09",5.08,0.96,"  K0III             ",\N,\N,\N,"*"
8657,\N,215405,\N,\N,"22 45 40.7","-46 32 51",5.51,1.32,"  K2III             ",\N,\N,\N,\N
8658,\N,215456,\N,\N,"22 46 08.0","-48 58 44",6.62,0.63,"  F9V               ",\N,\N,\N,\N
8659,\N,215504,\N,\N,"22 46 28.3","-49 41 09",6.48,1.14,"  K1III             ",\N,\N,\N,\N
8660," 45    Peg",215510,\N,\N,"22 45 28.2","+19 22 00",6.25,1.05," gG6                ",\N,\N,\N,\N
8661,\N,215518,\N,\N,"22 44 49.2","+52 31 02",6.55,\N,"  K2                ",\N,\N,\N,\N
8662,\N,215545,\N,\N,"22 46 43.7","-46 56 22",6.56,0.3,"  A9IIIm:           ",\N,\N,\N,"*"
8663,"   Xi  Oct",215573,\N,\N,"22 50 22.9","-80 07 27",5.35,-0.15,"  B6IV              ",\N,\N,\N,\N
8664,\N,215631,\N,\N,"22 49 40.9","-77 03 02",6.73,0.11,"  A4V               ",\N,\N,\N,\N
8665," 46Xi  Peg",215648,16261,\N,"22 46 41.6","+12 10 22",4.19,0.5,"  F6III-IV          ",\N,\N,\N,"*"
8666,\N,215664,\N,14311,"22 46 10.2","+44 32 46",5.76,0.36,"  F0III-IV          ",\N,\N,\N,"*"
8667," 47Lam Peg",215665,\N,\N,"22 46 31.9","+23 33 56",3.95,1.07,"  G8IIIa*           ",\N,\N,\N,"*"
8668,\N,215669,\N,\N,"22 47 19.1","-34 09 40",6.28,1.16,"  K1III             ",\N,\N,\N,\N
8669,\N,215682,\N,\N,"22 48 21.4","-61 41 03",6.37,1.06,"  K0III             ",\N,\N,\N,\N
8670," 68    Aqr",215721,\N,\N,"22 47 33.1","-19 36 48",5.26,0.94,"  G7III             ",\N,\N,\N,\N
8671,\N,215724,\N,\N,"22 47 47.1","-38 13 19",6.71,0.48,"  F4IV              ",\N,\N,\N,\N
8672,\N,215729,\N,\N,"22 49 17.4","-70 20 52",6.34,0.07,"  A2V               ",\N,\N,\N,\N
8673," 69Tau1Aqr",215766,16268,\N,"22 47 42.8","-14 03 23",5.66,-0.05,"  A0V               ",\N,\N,\N,"*"
8674,\N,215782,\N,\N,"22 47 56.2","-25 54 43",6.3,0.91,"  G5III             ",\N,\N,\N,\N
8675,"   Eps Gru",215789,\N,14320,"22 48 33.3","-51 19 01",3.49,0.08,"  A3V               ",\N,\N,\N,\N
8676," 70    Aqr",215874,\N,"FM Aqr   ","22 48 30.2","-10 33 20",6.19,0.28,"  A9III-IV          ",\N,\N,\N,"*"
8677,\N,215907,\N,\N,"22 47 23.2","+58 28 58",6.36,-0.04,"  B9.5IV            ",\N,\N,\N,\N
8678,\N,215943,\N,14321,"22 48 10.9","+37 25 00",5.9,1.03," gG8                ",\N,\N,\N,\N
8679," 71Tau2Aqr",216032,\N,14329,"22 49 35.5","-13 35 33",4.01,1.57,"  M0III             ",\N,\N,\N,"*"
8680,\N,216042,\N,\N,"22 49 59.1","-32 48 19",6.33,0.31,"  F0V+F3V           ",\N,\N,\N,"*"
8681,\N,216048,\N,\N,"22 49 32.3","+10 28 44",6.54,0.29,"  F0IV-V            ",\N,\N,\N,\N
8682,\N,216057,\N,\N,"22 48 47.8","+54 24 54",6.12,-0.07,"  B5Vne             ",\N,\N,\N,"*"
8683,\N,216102,\N,\N,"22 48 44.2","+62 56 18",6.06,1.2,"  K0                ",\N,\N,\N,\N
8684," 48Mu  Peg",216131,\N,\N,"22 50 00.2","+24 36 06",3.48,0.93,"  G8+III            ",\N,\N,\N,\N
8685,\N,216149,\N,\N,"22 51 02.2","-39 09 25",5.42,1.43,"  M0III             ",\N,\N,\N,\N
8686,\N,216169,\N,\N,"22 51 44.9","-59 52 53",6.46,1.13,"  K1IIICNII         ",\N,\N,\N,\N
8687,\N,216172,16291,\N,"22 49 00.7","+68 34 13",6.19,\N,"  F5V               ",\N,\N,\N,"*"
8688,\N,216174,\N,\N,"22 49 46.2","+55 54 10",5.43,1.17,"  K1III             ",\N,\N,\N,\N
8689,\N,216187,\N,\N,"22 52 09.9","-63 11 19",6.12,1.03,"  K0III             ",\N,\N,\N,\N
8690," 14    Lac",216200,\N,"V360 Lac ","22 50 21.8","+41 57 13",5.92,0.08,"  B3IV:             ",\N,\N,\N,"*"
8691,\N,216201,\N,\N,"22 50 39.1","+19 08 27",6.4,\N,"  K0                ",\N,\N,\N,\N
8692,\N,216206,\N,\N,"22 50 10.2","+50 40 37",6.21,1.14,"  G4Ib              ",\N,\N,\N,\N
8693," 21    PsA",216210,\N,\N,"22 51 20.9","-29 32 10",5.97,0.91,"  G8/K0III          ",\N,\N,\N,\N
8694," 32Iot Cep",216228,\N,\N,"22 49 40.8","+66 12 02",3.52,1.05,"  K0-III            ",\N,\N,\N,"*"
8745,\N,217348,\N,\N,"22 59 09.0","+59 48 53",6.43,0.03,"  B9III             ",\N,\N,\N,\N
8695," 22Gam PsA",216336,\N,14338,"22 52 31.6","-32 52 32",4.46,-0.04,"  A0III*            ",\N,\N,\N,"*"
8696,\N,216380,16317,\N,"22 51 22.8","+61 41 49",5.6,0.78,"  G8III-IV+G2IV     ",\N,\N,\N,"*"
8697," 49Sig Peg",216385,\N,\N,"22 52 24.1","+09 50 08",5.16,0.48,"  F7IV              ",\N,\N,\N,"*"
8698," 73Lam Aqr",216386,\N,"Lam Aqr  ","22 52 36.9","-07 34 47",3.74,1.64,"  M2.5IIIaFe-1      ",\N,\N,\N,"*"
8699," 15    Lac",216397,16325,\N,"22 52 02.0","+43 18 45",4.94,1.56,"  M0III             ",\N,\N,\N,"*"
8700,"   Tau1Gru",216435,\N,\N,"22 53 37.9","-48 35 53",6.04,0.62,"  G0V               ",\N,\N,\N,"*"
8701,"   Rho Ind",216437,\N,\N,"22 54 39.4","-70 04 25",6.05,0.66,"  G2-3IV            ",\N,\N,\N,\N
8702,\N,216446,16294,\N,"22 47 29.0","+83 09 14",4.74,1.26,"  K3III             ",\N,\N,\N,\N
8703,\N,216489,\N,"IM Peg   ","22 53 02.3","+16 50 28",5.64,1.12,"  K1-2II-III        ",\N,\N,\N,"*"
8704," 74    Aqr",216494,\N,"HI Aqr   ","22 53 28.7","-11 37 00",5.8,-0.08,"  B9III             ",\N,\N,\N,"*"
8705,\N,216523,\N,\N,"22 52 52.3","+50 24 43",6.46,-0.04,"  B8V               ",\N,\N,\N,\N
8706,\N,216538,\N,14346,"22 53 11.3","+40 10 02",6.34,-0.08,"  B7III-IV          ",\N,\N,\N,\N
8707,\N,216595,\N,\N,"22 53 03.8","+60 06 04",6.01,1.75,"sgK2                ",\N,\N,\N,\N
8708,\N,216608,16345,\N,"22 53 40.1","+44 44 57",5.81,0.26,"  A3Vm+F6V          ",\N,\N,\N,"*"
8709," 76Del Aqr",216627,\N,14356,"22 54 39.0","-15 49 15",3.27,0.05,"  A3V               ",\N,\N,\N,"*"
8710," 78    Aqr",216637,\N,\N,"22 54 34.1","-07 12 17",6.19,1.28,"  K3III             ",\N,\N,\N,\N
8711," 77    Aqr",216640,\N,14358,"22 54 45.5","-16 16 19",5.56,1.14,"  K2.5IIIb          ",\N,\N,\N,\N
8712,\N,216646,\N,\N,"22 54 07.0","+40 22 37",5.81,1.13,"  K0III             ",\N,\N,\N,"*"
8713,\N,216666,\N,\N,"22 55 14.9","-36 23 19",6.4,1.31,"  K2III             ",\N,\N,\N,\N
8714,\N,216672,\N,"HR Peg   ","22 54 35.7","+16 56 30",6.12,1.77,"  S4+/1+            ",\N,\N,\N,"*"
8715,"  1    Psc",216701,\N,\N,"22 54 59.5","+01 03 53",6.11,0.2,"  A7III             ",\N,\N,\N,\N
8716,\N,216718,16365,14360,"22 55 11.0","-04 59 16",5.72,0.88,"  K0III-IV          ",\N,\N,\N,"*"
8717," 50Rho Peg",216735,\N,\N,"22 55 13.7","+08 48 57",4.9,0,"  A1V               ",\N,\N,\N,\N
8718,\N,216756,\N,\N,"22 55 02.6","+37 04 37",5.91,0.42,"  F5II              ",\N,\N,\N,\N
8719,\N,216761,\N,\N,"22 55 51.4","-31 37 59",6.1,1.36,"  K3III             ",\N,\N,\N,\N
8720," 23Del PsA",216763,\N,\N,"22 55 56.9","-32 32 23",4.21,0.97,"  G8III             ",\N,\N,\N,"*"
8721,\N,216803,\N,"TW PsA   ","22 56 24.0","-31 33 56",6.48,1.1,"  K4V               ",\N,\N,\N,"*"
8722,"   Tau3Gru",216823,\N,\N,"22 56 47.8","-47 58 09",5.7,0.22,"  Am                ",\N,\N,\N,\N
8723,\N,216831,16376,\N,"22 55 44.5","+36 21 06",5.74,-0.05,"  B7III             ",\N,\N,\N,"*"
8724,\N,216900,16389,\N,"22 56 51.5","+11 50 54",6.51,0.18,"  A3V s             ",\N,\N,\N,\N
8725," 16    Lac",216916,16381,"EN Lac   ","22 56 23.6","+41 36 14",5.59,-0.14,"  B2IV              ",\N,\N,\N,"*"
8726,\N,216946,\N,14368,"22 56 26.0","+49 44 01",4.95,1.78,"  K5Ib              ",\N,\N,\N,"*"
8727,\N,216953,\N,\N,"22 57 17.2","-04 48 36",6.31,0.94,"  G9III             ",\N,\N,\N,\N
8728," 24Alp PsA",216956,\N,14372,"22 57 39.1","-29 37 20",1.16,0.09,"  A3V               ",\N,\N,\N,"*"
8729," 51    Peg",217014,\N,14374,"22 57 27.9","+20 46 08",5.49,0.67,"  G2.5IVa           ",\N,\N,\N,"*"
8730,\N,217019,\N,\N,"22 57 32.8","+03 48 37",6.28,1.12,"  K1III             ",\N,\N,\N,\N
8731,\N,217050,\N,"EW Lac   ","22 57 04.5","+48 41 03",5.43,-0.09,"  B4IIIep           ",\N,\N,\N,"*"
8732,\N,217096,\N,\N,"22 58 35.0","-35 31 23",6.13,0.58,"  F8III-IV          ",\N,\N,\N,"*"
8733,\N,217101,\N,\N,"22 57 40.7","+39 18 32",6.18,-0.15,"  B2IV-V            ",\N,\N,\N,"*"
8734,\N,217107,\N,\N,"22 58 15.5","-02 23 43",6.16,0.74,"  G8IV              ",\N,\N,\N,"*"
8735,\N,217131,\N,\N,"22 58 23.7","-01 24 37",6.37,0.35,"  F0-2V             ",\N,\N,\N,"*"
8736,\N,217157,\N,\N,"22 51 02.2","+85 22 25",5.9,1.32,"  K5                ",\N,\N,\N,\N
8737,\N,217166,16417,14379,"22 58 35.1","+09 21 25",6.43,0.64,"  G2V+G4V           ",\N,\N,\N,"*"
8738,\N,217186,\N,\N,"22 58 42.6","+07 20 23",6.33,0.06,"  A1V               ",\N,\N,\N,\N
8739," 52    Peg",217232,16428,\N,"22 59 11.8","+11 43 44",5.75,0.32,"  A8V+F6V           ",\N,\N,\N,"*"
8740,\N,217236,\N,14380,"22 59 35.8","-29 27 44",5.51,0.25,"  A5n               ",\N,\N,\N,"*"
8741,\N,217251,\N,\N,"22 59 35.7","-13 04 15",6.07,1.45,"  K5III             ",\N,\N,\N,\N
8742,"  2    Psc",217264,16431,\N,"22 59 27.4","+00 57 46",5.43,0.98," gK1                ",\N,\N,\N,\N
8743,\N,217303,\N,\N,"23 00 05.8","-25 09 51",5.65,1.25," gK0                ",\N,\N,\N,\N
8744,\N,217314,\N,\N,"22 59 10.3","+52 39 16",6.29,1.42,"  K2                ",\N,\N,\N,\N
8746,\N,217358,\N,\N,"23 00 24.6","-25 37 36",6.29,1.13,"  K1III             ",\N,\N,\N,\N
8747,"   Zet Gru",217364,\N,\N,"23 00 52.8","-52 45 15",4.12,0.98,"  G8-K0III          ",\N,\N,\N,\N
8748,\N,217382,\N,\N,"22 54 24.8","+84 20 46",4.71,1.43,"  K4III             ",\N,\N,\N,"*"
8749,\N,217403,\N,\N,"23 01 07.5","-50 57 00",5.68,1.42,"  K3III             ",\N,\N,\N,\N
8750,"  3    Psc",217428,\N,"Var?     ","23 00 37.9","+00 11 09",6.21,0.89,"  G4III             ",\N,\N,\N,"*"
8751,\N,217459,\N,\N,"23 00 42.9","+03 00 42",5.83,1.34,"  K4III             ",\N,\N,\N,"*"
8752,\N,217476,\N,"V509 Cas ","23 00 05.1","+56 56 43",5,1.42,"  G40               ",\N,\N,\N,"*"
8753,\N,217477,16443,\N,"23 00 42.5","+31 04 59",6.6,-0.04,"  B9IIIpMn          ",\N,\N,\N,"*"
8754,\N,217484,\N,\N,"23 01 19.4","-28 51 13",5.55,1.35,"  K3III             ",\N,\N,\N,\N
8755,\N,217491,\N,\N,"23 00 34.4","+45 22 30",6.5,\N,"  A3V               ",\N,\N,\N,\N
8756,\N,217498,\N,\N,"23 01 23.0","-22 47 27",6.28,0.13,"  A5V               ",\N,\N,\N,\N
8757," 81    Aqr",217531,\N,\N,"23 01 23.6","-07 03 40",6.21,1.41,"  K5III             ",\N,\N,\N,\N
8758,\N,217543,\N,14386,"23 00 54.7","+38 42 29",6.54,-0.11,"  B3Vpe             ",\N,\N,\N,"*"
8759,\N,217563,\N,\N,"23 01 31.7","-04 42 41",5.94,1,"  K0                ",\N,\N,\N,"*"
8760,\N,217642,\N,\N,"23 02 34.0","-36 25 15",6.47,0.94,"  K1III             ",\N,\N,\N,"*"
8761,\N,217673,\N,\N,"23 01 30.7","+57 06 20",6.2,1.5,"  K1.5II            ",\N,\N,\N,\N
8762,"  1Omi And",217675,\N,"Omi And  ","23 01 55.3","+42 19 34",3.62,-0.09,"  B6IIIpe+A2p       ",\N,\N,\N,"*"
8763," 82    Aqr",217701,\N,\N,"23 02 32.6","-06 34 27",6.15,1.58,"  M2III             ",\N,\N,\N,"*"
8764,\N,217703,\N,\N,"23 02 44.3","-20 52 14",5.97,0.94,"  K0III-IV          ",\N,\N,\N,\N
8765,\N,217754,\N,\N,"23 02 33.1","+31 46 50",6.57,0.35,"  F2IV              ",\N,\N,\N,\N
8766,"  2    And",217782,16467,14396,"23 02 36.3","+42 45 28",5.1,0.09,"  A3Vn              ",\N,\N,\N,"*"
8767,"   Pi  PsA",217792,\N,"Pi  PsA  ","23 03 29.8","-34 44 58",5.11,0.29,"  F0V+F3V           ",\N,\N,\N,"*"
8768,\N,217811,16472,"LN And   ","23 02 45.2","+44 03 32",6.39,0,"  B2V               ",\N,\N,\N,"*"
8769,\N,217831,\N,\N,"23 04 52.2","-68 49 13",5.52,0.36,"  F4III             ",\N,\N,\N,\N
8770,\N,217833,16474,"V638 Cas ","23 02 43.8","+55 14 11",6.5,-0.08,"  B9IIIHe wk        ",\N,\N,\N,"*"
8771,\N,217842,\N,\N,"23 03 59.5","-41 28 42",5.79,1.08,"  K0III             ",\N,\N,\N,\N
8772,\N,217877,\N,\N,"23 03 57.3","-04 47 43",6.68,0.58,"  F8V               ",\N,\N,\N,"*"
8773,"  4Bet Psc",217891,\N,14410,"23 03 52.6","+03 49 12",4.53,-0.12,"  B6Ve              ",\N,\N,\N,"*"
8774,"   Kap Gru",217902,\N,\N,"23 04 39.6","-53 57 54",5.37,1.45,"  K5III             ",\N,\N,\N,"*"
8775," 53Bet Peg",217906,16483,"Bet Peg  ","23 03 46.5","+28 04 58",2.42,1.67,"  M2.5II-III        ",\N,\N,\N,"*"
8776,\N,217926,\N,\N,"23 04 01.0","+06 37 00",6.41,0.39,"  F2V               ",\N,\N,\N,\N
8777,\N,217943,16481,\N,"23 03 23.7","+60 26 43",6.74,-0.02,"  B2V               ",\N,\N,\N,"*"
8778,\N,217944,\N,\N,"23 03 21.6","+58 33 53",6.43,0.9,"  G8IV              ",\N,\N,\N,\N
8779,\N,218029,\N,\N,"23 03 32.9","+67 12 33",5.24,1.26,"  K3III             ",\N,\N,\N,\N
8780,"  3    And",218031,\N,\N,"23 04 11.0","+50 03 08",4.65,1.06,"  K0IIIbFe-0.5      ",\N,\N,\N,\N
8781," 54Alp Peg",218045,\N,14417,"23 04 45.7","+15 12 19",2.49,-0.04,"  B9V               ",\N,\N,\N,"*"
8782," 83    Aqr",218060,16497,\N,"23 05 09.8","-07 41 37",5.43,0.3,"  F2IV+F0V          ",\N,\N,\N,"*"
8783,\N,218061,\N,\N,"23 05 12.8","-17 04 45",6.14,1.37,"  K0                ",\N,\N,\N,\N
8784,\N,218101,\N,\N,"23 05 06.3","+16 33 47",6.44,0.83,"  G8IV              ",\N,\N,\N,\N
8785,\N,218103,\N,\N,"23 05 17.6","+01 18 25",6.39,0.94,"  G9III             ",\N,\N,\N,\N
8786,\N,218108,\N,\N,"23 08 23.7","-79 28 51",6.12,0.14,"  A3-4V             ",\N,\N,\N,\N
8787,"   The Gru",218227,\N,\N,"23 06 52.8","-43 31 14",4.28,0.42,"  F5mDel Del        ",\N,\N,\N,"*"
8788,\N,218235,\N,\N,"23 06 18.2","+18 31 03",6.13,0.44,"  F6V s             ",\N,\N,\N,"*"
8789," 86    Aqr",218240,16511,\N,"23 06 40.9","-23 44 35",4.47,0.9,"  G9III             ",\N,\N,\N,"*"
8790,"   Ups Gru",218242,\N,\N,"23 06 53.6","-38 53 32",5.61,0.01,"  A1V               ",\N,\N,\N,\N
8791,\N,218255,\N,\N,"23 07 09.5","-49 36 24",6.33,1.45,"  K4III             ",\N,\N,\N,\N
8792,\N,218261,\N,\N,"23 06 31.9","+19 54 39",6.3,0.49,"  F7V               ",\N,\N,\N,"*"
8793,\N,218269,\N,\N,"23 07 14.7","-50 41 11",5.83,0.48,"  F6-7IV-V          ",\N,\N,\N,"*"
8794,\N,218288,\N,\N,"23 08 35.7","-73 35 11",6.15,1.42,"  K3III             ",\N,\N,\N,"*"
8795," 55    Peg",218329,\N,14428,"23 07 00.3","+09 24 34",4.52,1.57,"  M1IIIab           ",\N,\N,\N,\N
8847,\N,219531,\N,\N,"23 16 49.8","-41 11 40",6.47,1.08,"  K0III             ",\N,\N,\N,\N
8796," 56    Peg",218356,\N,14429,"23 07 06.8","+25 28 06",4.76,1.34,"  G8Ib              ",\N,\N,\N,"*"
8797,"  1    Cas",218376,\N,\N,"23 06 36.9","+59 25 11",4.85,-0.03,"  B0.5IV            ",\N,\N,\N,"*"
8798,\N,218395,16519,14430,"23 07 27.7","+32 49 33",6.02,0.12,"  A4Vn              ",\N,\N,\N,"*"
8799,\N,218396,\N,"Var      ","23 07 28.7","+21 08 03",5.99,0.26,"  A5V               ",\N,\N,\N,"*"
8800,\N,218407,\N,\N,"23 07 18.1","+46 04 05",6.66,-0.05,"  B2V               ",\N,\N,\N,"*"
8801,\N,218416,\N,\N,"23 07 10.1","+52 48 59",6.11,1.05,"  K0III             ",\N,\N,\N,\N
8802,\N,218434,\N,\N,"23 08 21.0","-28 49 24",5.6,0.88,"  G9III             ",\N,\N,\N,\N
8803,\N,218440,\N,\N,"23 07 10.4","+59 43 39",6.4,-0.01,"  B2V               ",\N,\N,\N,"*"
8804,"  4    And",218452,16526,\N,"23 07 39.3","+46 23 14",5.33,1.41,"  K5III             ",\N,\N,\N,"*"
8805,"  5    And",218470,\N,\N,"23 07 45.4","+49 17 45",5.7,0.44,"  F5V               ",\N,\N,\N,\N
8806,\N,218525,\N,\N,"23 08 12.3","+44 33 42",6.56,0.17,"  A2IV              ",\N,\N,\N,\N
8807,"  5    Psc",218527,\N,\N,"23 08 40.9","+02 07 40",5.4,0.91,"  G8III-IV          ",\N,\N,\N,\N
8808,\N,218537,16530,\N,"23 07 47.7","+63 38 00",6.26,-0.02,"  B3V               ",\N,\N,\N,"*"
8809,\N,218558,\N,\N,"23 10 11.7","-66 51 27",6.47,0.95,"  K0III             ",\N,\N,\N,\N
8810,\N,218559,\N,\N,"23 12 12.0","-80 54 46",6.41,1.5,"  K4III             ",\N,\N,\N,\N
8811,\N,218560,\N,\N,"23 07 57.2","+64 13 21",6.21,1.1,"  K0                ",\N,\N,\N,\N
8812," 88    Aqr",218594,\N,\N,"23 09 26.8","-21 10 21",3.66,1.22,"  K1III             ",\N,\N,\N,\N
8813,\N,218619,\N,\N,"23 09 44.6","-28 05 19",5.87,1.31,"  K2III             ",\N,\N,\N,\N
8814,\N,218630,\N,\N,"23 09 57.3","-42 51 38",5.81,0.48,"  F4IV              ",\N,\N,\N,\N
8815," 57    Peg",218634,16550,"GZ Peg   ","23 09 31.5","+08 40 38",5.12,1.47,"  M4IIIS+A2V        ",\N,\N,\N,"*"
8816,\N,218639,\N,\N,"23 09 49.6","-14 30 38",6.42,0.01,"  A0Vn              ",\N,\N,\N,\N
8817," 89    Aqr",218640,\N,\N,"23 09 54.8","-22 27 27",4.69,0.65,"  G2IV+A2V          ",\N,\N,\N,"*"
8818,\N,218655,\N,14441,"23 10 09.8","-40 35 30",5.83,1.62,"  M4III             ",\N,\N,\N,"*"
8819," 33Pi  Cep",218658,16538,\N,"23 07 53.9","+75 23 15",4.41,0.8,"  G2III             ",\N,\N,\N,"*"
8820,"   Iot Gru",218670,\N,\N,"23 10 21.6","-45 14 48",3.9,1.02,"  K1III             ",\N,\N,\N,"*"
8821," 58    Peg",218700,\N,\N,"23 10 01.5","+09 49 19",5.39,-0.08,"  B9III             ",\N,\N,\N,"*"
8822,"  2    Cas",218753,16556,"Var?     ","23 09 44.1","+59 19 59",5.7,0.33,"  A5III             ",\N,\N,\N,"*"
8823,\N,218759,\N,\N,"23 10 46.6","-29 31 30",6.51,0.27,"  F1III-IV          ",\N,\N,\N,\N
8824,\N,218792,\N,\N,"23 10 42.6","+17 35 40",5.71,1.34,"  K4III             ",\N,\N,\N,\N
8825,"  6    And",218804,\N,\N,"23 10 27.2","+43 32 39",5.94,0.44,"  F5IV              ",\N,\N,\N,\N
8826," 59    Peg",218918,\N,\N,"23 11 44.2","+08 43 12",5.16,0.13,"  A5Vn              ",\N,\N,\N,\N
8827," 60    Peg",218935,\N,\N,"23 11 49.2","+26 50 50",6.17,0.94,"  G8III-IV          ",\N,\N,\N,"*"
8828,\N,219023,\N,\N,"23 13 15.0","-49 37 08",6.8,0.92,"  G8-K0III          ",\N,\N,\N,\N
8829,\N,219077,\N,\N,"23 14 06.6","-62 42 00",6.12,0.79,"  G8V               ",\N,\N,\N,\N
8830,"  7    And",219080,\N,\N,"23 12 33.0","+49 24 23",4.52,0.29,"  F0V               ",\N,\N,\N,"*"
8831,\N,219110,\N,\N,"23 13 04.0","+29 26 30",6.35,0.93,"  G8III             ",\N,\N,\N,\N
8832,\N,219134,\N,14458,"23 13 17.0","+57 10 06",5.56,1.01,"  K3V               ",\N,\N,\N,"*"
8833,\N,219139,16603,\N,"23 13 26.5","+11 03 54",5.82,1.01,"  G8III             ",\N,\N,\N,"*"
8834," 90Phi Aqr",219215,\N,\N,"23 14 19.4","-06 02 56",4.22,1.56,"  M1.5III           ",\N,\N,\N,"*"
8835,\N,219263,\N,\N,"23 14 58.6","-41 06 20",5.77,1.18,"  K2III             ",\N,\N,\N,\N
8836,\N,219279,16618,\N,"23 14 40.2","-10 41 19",6.12,1.49,"  K5III             ",\N,\N,\N,"*"
8837,\N,219290,\N,\N,"23 14 14.3","+50 37 04",6.31,\N,"  A0V               ",\N,\N,\N,\N
8838,\N,219291,\N,\N,"23 14 21.7","+29 46 18",6.41,0.45,"  F6IV w            ",\N,\N,\N,\N
8839,\N,219310,\N,\N,"23 14 36.5","+24 06 11",6.36,\N,"  K2III             ",\N,\N,\N,\N
8840,\N,219402,\N,\N,"23 15 34.3","-03 29 47",5.55,0.06,"  A3V               ",\N,\N,\N,\N
8841," 91Psi1Aqr",219449,16633,\N,"23 15 53.5","-09 05 16",4.21,1.11,"  K0III             ",\N,\N,\N,"*"
8842," 61    Peg",219477,\N,\N,"23 15 46.3","+28 14 52",6.49,0.85,"  G5II-III          ",\N,\N,\N,\N
8843,\N,219482,\N,\N,"23 16 57.7","-62 00 04",5.66,0.51,"  F7V               ",\N,\N,\N,\N
8844,\N,219485,\N,\N,"23 14 37.3","+74 13 52",5.84,\N,"  A0V               ",\N,\N,\N,\N
8845,\N,219487,\N,\N,"23 15 57.9","+24 46 16",6.6,0.4,"  F5V               ",\N,\N,\N,\N
8846,\N,219507,\N,\N,"23 16 39.7","-44 29 21",5.92,1.06,"  K1III             ",\N,\N,\N,\N
8848,"   Gam Tuc",219571,\N,\N,"23 17 25.8","-58 14 09",3.99,0.4,"  F1III             ",\N,\N,\N,\N
8849,\N,219572,\N,\N,"23 19 08.1","-79 28 22",6.33,0.91,"  K0III             ",\N,\N,\N,\N
8850," 92Chi Aqr",219576,\N,"Chi Aqr  ","23 16 50.9","-07 43 36",5.06,1.6,"  M3III             ",\N,\N,\N,"*"
8851,\N,219586,\N,\N,"23 15 37.8","+70 53 17",5.56,0.24,"  F0IV              ",\N,\N,\N,\N
8852,"  6Gam Psc",219615,\N,\N,"23 17 09.9","+03 16 56",3.69,0.92,"  G9-III:Fe-2       ",\N,\N,\N,"*"
8853,\N,219623,\N,\N,"23 16 42.3","+53 12 49",5.54,0.52,"  F7V               ",\N,\N,\N,\N
